fips,year,population,white_pct,hispanic_pct,black_pct
53015,2009,102126,0.9259248379452832,0.07578873156688797,0.007363452989444412
53015,2010,102501,0.9250348777085101,0.07824313909132594,0.006936517692510317
53017,2000,32674,0.9646507926791945,0.1994246189630899,0.0038868825365734223
53017,2001,32787,0.9615701345045292,0.20303778936773723,0.004025985909049319
53017,2002,33044,0.9604164144776661,0.20796513739256747,0.004418351289190171
53017,2003,33481,0.9588124607986619,0.2190794779128461,0.004390549864102028
53017,2004,34086,0.9565804142463181,0.22786481253300475,0.004488646365076571
53017,2005,34622,0.9546242273698804,0.23912541158800762,0.004679105770897117
53017,2006,35558,0.9517970639518533,0.24635806288317677,0.005118398110129928
53017,2007,36503,0.9502780593375887,0.2572665260389557,0.004958496561926417
53017,2008,37216,0.9484092863284609,0.26781491831470333,0.005078460877042132
53017,2009,37935,0.9455911427441677,0.2767101621194148,0.0051667325688678
53017,2010,38589,0.9462800279872503,0.28679157272797945,0.005312394723885045
53019,2000,7276,0.7807861462341946,0.02817482133040132,0.002061572292468389
53019,2001,7285,0.782566918325326,0.029787234042553193,0.002059025394646534
53019,2002,7280,0.7842032967032967,0.02980769230769231,0.0020604395604395605
53019,2003,7424,0.7846174568965517,0.030441810344827586,0.0021551724137931034
53019,2004,7478,0.7841668895426585,0.03022198448783097,0.0021396095212623694
53019,2005,7495,0.7837224816544363,0.028819212808539028,0.002801867911941294
53019,2006,7562,0.7796879132504628,0.02988627347262629,0.003173763554615181
53019,2007,7430,0.7746971736204576,0.031628532974428,0.0033647375504710633
53019,2008,7439,0.7767173007124614,0.03212797419007931,0.003495093426535825
53019,2009,7538,0.77009816927567,0.032899973467763334,0.00344919076678164
53019,2010,7553,0.7726731100225076,0.038395339600158875,0.0068846815834767644
53021,2000,49565,0.9312418036921215,0.4690608292141632,0.028185211338646224
53021,2001,50511,0.9292827304943477,0.4777573201876819,0.02745936528676922
53021,2002,52365,0.9291320538527642,0.4827843024921226,0.026391673827938507
53021,2003,55447,0.926362111566,0.4839576532544592,0.026601980269446497
53021,2004,58165,0.925642568554973,0.4889538382188601,0.025702742198916873
53021,2005,61360,0.9241199478487614,0.4888526727509778,0.024445893089960886
53021,2006,64585,0.9217465355732756,0.49283889448014245,0.023999380661144227
53021,2007,67586,0.920175776048294,0.5005622466191223,0.02373272571242565
53021,2008,70775,0.91987283645355,0.506153302719887,0.02308724832214765
53021,2009,74478,0.9200032224280996,0.51154703402347,0.02228846102204678
53021,2010,79223,0.9189881726266362,0.5122628529593679,0.02289739090920566
53023,2000,2383,0.9790180444817457,0.019723038187159043,0.0
53023,2001,2313,0.9783830523130134,0.021184608733246867,0.0
53023,2002,2293,0.9786306149149586,0.0226777147841256,0.0
53023,2003,2316,0.9771157167530224,0.023747841105354058,0.0
53023,2004,2270,0.9753303964757709,0.02643171806167401,0.0
53023,2005,2274,0.9678979771328057,0.029463500439753737,0.0
53023,2006,2245,0.9648106904231626,0.03429844097995546,0.0
53023,2007,2203,0.9632319564230595,0.035860190649114845,0.0
53023,2008,2244,0.9612299465240641,0.03832442067736185,0.0
53023,2009,2237,0.9606616003576218,0.04023245417970496,0.0
53023,2010,2269,0.9219920669898634,0.03878360511238431,0.006610841780520053
53025,2000,74918,0.9520142021943993,0.303304946741771,0.01066499372647428
53025,2001,76044,0.949279364578402,0.31293724685708274,0.011111987796538846
53025,2002,76944,0.9484820128924932,0.32213038053649407,0.011826783114992722
53025,2003,77955,0.9452504650118658,0.32933102430889616,0.01249438778782631
53025,2004,78734,0.9435694871338939,0.3373129778748698,0.012726395204104962
53025,2005,79531,0.9410292841784964,0.34690875256189413,0.013629905319938138
53025,2006,81036,0.9389900784836369,0.35533590009378546,0.014524408904684339
53025,2007,82645,0.9364268860790127,0.3624296690664892,0.01514913182890677
53025,2008,84944,0.9340859860614051,0.3666415520813713,0.015716236579393483
53025,2009,87340,0.9317952828028395,0.37514311884588963,0.016819326768948935
53025,2010,89744,0.9313937422000357,0.3844045284364414,0.016914779818149404
53027,2000,67075,0.9091166604547148,0.0488557584793142,0.003667536339918002
53027,2001,67896,0.9063420525509603,0.05191763874160481,0.005876634853305055
53027,2002,68264,0.9032872377827259,0.05610570725418962,0.006767842493847416
53027,2003,69065,0.9014261927170057,0.0590458263954246,0.008166220227322088
53027,2004,69775,0.8985166606950914,0.06337513436044429,0.008713722680042996
53027,2005,70423,0.8962696846200815,0.0682163497720915,0.00948553739545319
53027,2006,71256,0.8940440103289548,0.0730464802963961,0.01007634444818682
53027,2007,71827,0.8920461664833559,0.07658679883609228,0.010539212273935986
53027,2008,72027,0.8897080261568578,0.08096963638635511,0.010732086578644119
53027,2009,72468,0.8868742065463376,0.08456146161064194,0.011618921454987028
53027,2010,72882,0.8862819351828983,0.08659202546582147,0.011758733294915068
53029,2000,71886,0.8882397128787246,0.039882591881590296,0.024455387697187213
53029,2001,73884,0.888311407070543,0.041267392128200964,0.025499431541335067
53029,2002,74840,0.8889764831640834,0.04452164617851417,0.024786210582576164
53029,2003,74670,0.8899558055443954,0.04487746082764162,0.02311503950716486
53029,2004,77667,0.8861421195617186,0.04915858730220042,0.025338947043145738
53029,2005,77589,0.8860147701349418,0.05038085295596025,0.024127131423268763
53029,2006,79136,0.8833147998382531,0.051822179539021435,0.024855944197331177
53029,2007,78726,0.8806239361837258,0.053286080837334555,0.02412163707034525
53029,2008,78375,0.8788644338118022,0.0527591706539075,0.023681020733652313
53029,2009,78248,0.8774026173192925,0.05435282690931398,0.022850424291994683
53029,2010,78681,0.8762852531106621,0.05551530865138979,0.02273738259554403
53031,2000,26414,0.9333686681305369,0.02210948739304914,0.006814568032104187
53031,2001,26845,0.9311231141739617,0.023766064444030545,0.007077668094617247
53031,2002,27201,0.9280173523032241,0.023712363516047205,0.0072423807948237195
53031,2003,27588,0.9284109032912861,0.025083369580977236,0.00743076700014499
53031,2004,27949,0.9262943218004221,0.025725428458978853,0.00758524455257791
