fips,year,pct_two_party_rep,rep_margin,totalvotes
05041,2000,0.36606531171500345,-0.26095661846496104,4495
05043,2000,0.47386519944979366,-0.05133400878081729,5922
05045,2000,0.5732904838421711,0.14050520262869662,29216
05047,2000,0.5506637539909259,0.09820846905537459,6140
05049,2000,0.5074775672981057,0.014605647517039922,4108
05051,2000,0.5466254507985574,0.09066369834423264,35935
05053,2000,0.5644329896907216,0.12472975220355896,6013
05055,2000,0.479917695473251,-0.039090035245113744,12484
05057,2000,0.45273839310536557,-0.09329126080395116,7289
05059,2000,0.4770555397861671,-0.04416719788725981,10981
05061,2000,0.5299612668033721,0.05898183449203857,4459
05063,2000,0.5442387742449739,0.08616525789201311,11594
05065,2000,0.47074468085106386,-0.0568362480127186,5032
05067,2000,0.3844208396560445,-0.2257905138339921,6072
